"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage"

"Year","Type of settlement region","Place of residence of groom","Months total","January","February","March","April","May","June","July","August","September","October","November","December"
"2018","City and town settlement region","Pärnu county",190,11,7,6,11,16,22,22,50,12,10,13,10
"2018","City and town settlement region","Rapla county",25,1,2,1,0,3,4,0,8,4,0,1,1
"2018","City and town settlement region","Saare county",47,2,1,1,2,5,6,6,9,6,2,2,5
"2018","City and town settlement region","Tartu county",463,14,18,16,26,31,51,74,108,33,32,28,32
"2018","City and town settlement region","Valga county",40,0,2,1,2,4,6,3,12,1,3,3,3
"2018","City and town settlement region","Viljandi county",46,2,2,0,1,9,4,7,10,2,3,3,3
"2018","City and town settlement region","Võru county",49,0,3,1,2,7,5,5,11,3,5,3,4
"2018","City and town settlement region","Place of residence in Estonia unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","Rural settlement region","Total",1635,61,69,72,68,115,183,265,366,135,111,90,100
"2018","Rural settlement region","Place of residence unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","Rural settlement region","Place of residence outside of Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","Rural settlement region","Place of residence in Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","Rural settlement region","Harju county",317,19,16,13,17,24,30,39,66,30,22,21,20
"2018","Rural settlement region","..Tallinn",.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","Rural settlement region","Hiiu county",39,3,0,0,0,3,5,8,10,2,4,3,1
"2018","Rural settlement region","Ida-Viru county",103,7,6,4,8,6,16,9,19,9,7,7,5
"2018","Rural settlement region","Jõgeva county",92,1,5,3,4,3,11,16,20,12,5,5,7
"2018","Rural settlement region","Järva county",68,4,3,0,3,7,9,15,15,1,3,2,6
"2018","Rural settlement region","Lääne county",38,1,2,1,4,2,7,3,9,2,3,1,3
"2018","Rural settlement region","Lääne-Viru county",155,3,4,15,3,8,14,32,31,11,12,8,14
"2018","Rural settlement region","Põlva county",61,1,1,3,3,4,6,13,14,9,2,5,0
"2018","Rural settlement region","Pärnu county",151,5,7,5,6,17,17,24,33,13,8,8,8
"2018","Rural settlement region","Rapla county",110,3,2,7,2,6,10,23,21,13,7,8,8
"2018","Rural settlement region","Saare county",91,2,8,4,2,6,10,12,23,8,9,4,3
"2018","Rural settlement region","Tartu county",201,4,10,9,9,14,20,36,47,16,11,12,13
"2018","Rural settlement region","Valga county",53,4,2,2,2,7,5,6,14,3,2,3,3
"2018","Rural settlement region","Viljandi county",77,3,1,1,3,3,13,14,20,3,9,1,6
"2018","Rural settlement region","Võru county",79,1,2,5,2,5,10,15,24,3,7,2,3
"2018","Rural settlement region","Place of residence in Estonia unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","Total","Total",6701,333,339,394,408,594,742,956,1043,655,479,391,367
"2019","Total","Place of residence unknown",0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Total","Place of residence outside of Estonia",497,32,25,24,29,33,53,60,61,43,45,53,39
"2019","Total","Place of residence in Estonia",6204,301,314,370,379,561,689,896,982,612,434,338,328
"2019","Total","Harju county",3343,178,193,193,211,282,393,426,521,359,239,187,161
"2019","Total","..Tallinn",2492,141,140,146,164,203,297,277,380,279,184,150,131
"2019","Total","Hiiu county",44,2,2,3,4,4,4,7,5,4,2,3,4
"2019","Total","Ida-Viru county",684,31,40,51,47,40,79,90,92,60,62,46,46
"2019","Total","Jõgeva county",104,6,1,3,5,12,10,18,14,12,6,7,10
"2019","Total","Järva county",96,4,3,4,5,13,11,27,9,5,7,5,3
"2019","Total","Lääne county",81,1,4,5,2,8,10,14,13,4,6,4,10
"2019","Total","Lääne-Viru county",219,10,13,20,15,27,24,33,33,11,21,5,7
"2019","Total","Põlva county",99,4,4,7,10,9,8,20,13,6,8,4,6
"2019","Total","Pärnu county",301,14,13,17,16,35,29,45,55,28,18,19,12
"2019","Total","Rapla county",125,6,4,14,9,12,8,25,20,8,8,9,2
"2019","Total","Saare county",122,5,5,2,5,14,15,21,24,14,5,6,6
"2019","Total","Tartu county",594,24,23,31,28,62,67,105,110,68,25,21,30
"2019","Total","Valga county",108,7,3,7,11,6,8,11,19,14,5,4,13
"2019","Total","Viljandi county",160,4,3,6,7,22,11,31,31,12,12,11,10
"2019","Total","Võru county",120,5,3,6,4,14,12,23,22,7,10,6,8
"2019","Total","Place of residence in Estonia unknown",4,0,0,1,0,1,0,0,1,0,0,1,0
"2019","City and town settlement region","Total",4500,237,244,265,285,389,518,594,714,448,314,259,233
"2019","City and town settlement region","Place of residence unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","City and town settlement region","Place of residence outside of Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","City and town settlement region","Place of residence in Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","City and town settlement region","Harju county",2979,165,168,170,194,251,354,357,461,323,220,172,144
"2019","City and town settlement region","..Tallinn",2492,141,140,146,164,203,297,277,380,279,184,150,131
"2019","City and town settlement region","Hiiu county",0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","City and town settlement region","Ida-Viru county",564,30,36,41,39,30,70,68,75,47,47,41,40
"2019","City and town settlement region","Jõgeva county",15,1,0,0,1,3,0,4,2,2,0,1,1
"2019","City and town settlement region","Järva county",42,2,2,3,4,5,4,10,3,2,4,2,1
"2019","City and town settlement region","Lääne county",36,0,1,2,0,4,6,4,5,1,4,2,7
"2019","City and town settlement region","Lääne-Viru county",81,3,6,8,8,7,6,18,9,5,6,4,1
"2019","City and town settlement region","Põlva county",17,1,0,0,1,4,0,6,3,0,1,1,0
"2019","City and town settlement region","Pärnu county",151,9,8,12,6,18,13,23,27,14,5,9,7
"2019","City and town settlement region","Rapla county",21,0,0,2,1,3,2,6,4,1,0,2,0
"2019","City and town settlement region","Saare county",39,2,1,0,0,5,4,9,9,3,2,3,1
"2019","City and town settlement region","Tartu county",418,16,20,22,23,46,46,66,88,39,20,15,17
"2019","City and town settlement region","Valga county",43,2,1,2,4,0,4,7,8,4,2,2,7
"2019","City and town settlement region","Viljandi county",58,2,0,2,2,10,4,10,12,5,3,5,3
"2019","City and town settlement region","Võru county",36,4,1,1,2,3,5,6,8,2,0,0,4
"2019","City and town settlement region","Place of residence in Estonia unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","Rural settlement region","Total",1700,64,70,104,94,171,171,302,267,164,120,78,95
"2019","Rural settlement region","Place of residence unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","Rural settlement region","Place of residence outside of Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","Rural settlement region","Place of residence in Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","Rural settlement region","Harju county",364,13,25,23,17,31,39,69,60,36,19,15,17
"2019","Rural settlement region","..Tallinn",.,.,.,.,.,.,.,.,.,.,.,.,.
"2019","Rural settlement region","Hiiu county",44,2,2,3,4,4,4,7,5,4,2,3,4
"2019","Rural settlement region","Ida-Viru county",120,1,4,10,8,10,9,22,17,13,15,5,6
"2019","Rural settlement region","Jõgeva county",89,5,1,3,4,9,10,14,12,10,6,6,9
"2019","Rural settlement region","Järva county",54,2,1,1,1,8,7,17,6,3,3,3,2
"2019","Rural settlement region","Lääne county",45,1,3,3,2,4,4,10,8,3,2,2,3
"2019","Rural settlement region","Lääne-Viru county",138,7,7,12,7,20,18,15,24,6,15,1,6
"2019","Rural settlement region","Põlva county",82,3,4,7,9,5,8,14,10,6,7,3,6
"2019","Rural settlement region","Pärnu county",150,5,5,5,10,17,16,22,28,14,13,10,5
"2019","Rural settlement region","Rapla county",104,6,4,12,8,9,6,19,16,7,8,7,2
"2019","Rural settlement region","Saare county",83,3,4,2,5,9,11,12,15,11,3,3,5
"2019","Rural settlement region","Tartu county",176,8,3,9,5,16,21,39,22,29,5,6,13
"2019","Rural settlement region","Valga county",65,5,2,5,7,6,4,4,11,10,3,2,6
