Aasta,Asustuspiirkonna liik,Mehe elukoht,Kokku,0 last,1 laps,2 last,3 last,4 last,5 või enam last,Ühiste laste arv teadmata
2018,Linnaline ja väikelinnaline asustuspiirkond,Elukoht Eestis teadmata,.,.,.,.,.,.,.,.
2018,Maaline asustuspiirkond,Kokku,828,400,184,173,54,9,1,7
2018,Maaline asustuspiirkond,Elukoht teadmata,.,.,.,.,.,.,.,.
2018,Maaline asustuspiirkond,Elukoht väljaspool Eestit,.,.,.,.,.,.,.,.
2018,Maaline asustuspiirkond,Elukoht Eestis,.,.,.,.,.,.,.,.
2018,Maaline asustuspiirkond,Harju maakond,200,91,48,39,18,1,0,3
2018,Maaline asustuspiirkond,Tallinn,.,.,.,.,.,.,.,.
2018,Maaline asustuspiirkond,Hiiu maakond,19,7,4,5,1,0,0,2
2018,Maaline asustuspiirkond,Ida-Viru maakond,64,29,16,17,2,0,0,0
2018,Maaline asustuspiirkond,Jõgeva maakond,51,28,8,11,3,1,0,0
2018,Maaline asustuspiirkond,Järva maakond,33,13,8,6,3,2,0,1
2018,Maaline asustuspiirkond,Lääne maakond,17,8,4,4,1,0,0,0
2018,Maaline asustuspiirkond,Lääne-Viru maakond,77,32,21,17,6,1,0,0
2018,Maaline asustuspiirkond,Põlva maakond,30,16,3,7,3,1,0,0
2018,Maaline asustuspiirkond,Pärnu maakond,66,30,17,12,5,2,0,0
2018,Maaline asustuspiirkond,Rapla maakond,51,33,11,6,1,0,0,0
2018,Maaline asustuspiirkond,Saare maakond,24,14,4,3,1,1,1,0
2018,Maaline asustuspiirkond,Tartu maakond,86,46,20,16,4,0,0,0
2018,Maaline asustuspiirkond,Valga maakond,22,12,2,7,1,0,0,0
2018,Maaline asustuspiirkond,Viljandi maakond,48,25,8,12,3,0,0,0
2018,Maaline asustuspiirkond,Võru maakond,40,16,10,11,2,0,0,1
2018,Maaline asustuspiirkond,Elukoht Eestis teadmata,.,.,.,.,.,.,.,.
2019,Kokku,Kokku,2790,1107,781,543,107,20,2,230
2019,Kokku,Elukoht teadmata,0,0,0,0,0,0,0,0
2019,Kokku,Elukoht väljaspool Eestit,142,34,16,5,2,0,1,84
2019,Kokku,Elukoht Eestis,2648,1073,765,538,105,20,1,146
2019,Kokku,Harju maakond,1294,503,400,286,51,8,1,45
2019,Kokku,Tallinn,930,371,301,187,27,4,1,39
2019,Kokku,Hiiu maakond,20,6,6,4,0,0,0,4
2019,Kokku,Ida-Viru maakond,344,140,124,51,9,1,0,19
2019,Kokku,Jõgeva maakond,45,16,7,11,3,1,0,7
2019,Kokku,Järva maakond,65,26,15,14,4,1,0,5
2019,Kokku,Lääne maakond,42,14,12,8,2,0,0,6
2019,Kokku,Lääne-Viru maakond,98,53,25,13,3,0,0,4
2019,Kokku,Põlva maakond,50,20,10,14,3,1,0,2
2019,Kokku,Pärnu maakond,141,72,29,21,6,2,0,11
2019,Kokku,Rapla maakond,55,31,10,10,1,1,0,2
2019,Kokku,Saare maakond,57,23,16,13,1,0,0,4
2019,Kokku,Tartu maakond,262,92,68,60,16,2,0,24
2019,Kokku,Valga maakond,38,16,10,7,1,2,0,2
2019,Kokku,Viljandi maakond,83,38,19,14,3,1,0,8
2019,Kokku,Võru maakond,53,23,14,12,2,0,0,2
2019,Kokku,Elukoht Eestis teadmata,1,0,0,0,0,0,0,1
2019,Linnaline ja väikelinnaline asustuspiirkond,Kokku,1903,751,598,379,67,11,1,96
2019,Linnaline ja väikelinnaline asustuspiirkond,Elukoht teadmata,.,.,.,.,.,.,.,.
2019,Linnaline ja väikelinnaline asustuspiirkond,Elukoht väljaspool Eestit,.,.,.,.,.,.,.,.
2019,Linnaline ja väikelinnaline asustuspiirkond,Elukoht Eestis,.,.,.,.,.,.,.,.
2019,Linnaline ja väikelinnaline asustuspiirkond,Harju maakond,1149,446,364,249,43,5,1,41
2019,Linnaline ja väikelinnaline asustuspiirkond,Tallinn,930,371,301,187,27,4,1,39
2019,Linnaline ja väikelinnaline asustuspiirkond,Hiiu maakond,0,0,0,0,0,0,0,0
2019,Linnaline ja väikelinnaline asustuspiirkond,Ida-Viru maakond,300,121,115,42,5,1,0,16
2019,Linnaline ja väikelinnaline asustuspiirkond,Jõgeva maakond,7,3,1,0,1,1,0,1
2019,Linnaline ja väikelinnaline asustuspiirkond,Järva maakond,30,10,7,7,2,0,0,4
2019,Linnaline ja väikelinnaline asustuspiirkond,Lääne maakond,16,5,6,4,0,0,0,1
2019,Linnaline ja väikelinnaline asustuspiirkond,Lääne-Viru maakond,34,17,12,3,1,0,0,1
2019,Linnaline ja väikelinnaline asustuspiirkond,Põlva maakond,12,6,1,4,1,0,0,0
2019,Linnaline ja väikelinnaline asustuspiirkond,Pärnu maakond,81,41,16,12,3,2,0,7
2019,Linnaline ja väikelinnaline asustuspiirkond,Rapla maakond,2,2,0,0,0,0,0,0
2019,Linnaline ja väikelinnaline asustuspiirkond,Saare maakond,22,8,8,6,0,0,0,0
2019,Linnaline ja väikelinnaline asustuspiirkond,Tartu maakond,179,62,47,39,11,0,0,20
2019,Linnaline ja väikelinnaline asustuspiirkond,Valga maakond,21,8,7,4,0,1,0,1
2019,Linnaline ja väikelinnaline asustuspiirkond,Viljandi maakond,32,16,7,5,0,1,0,3
2019,Linnaline ja väikelinnaline asustuspiirkond,Võru maakond,18,6,7,4,0,0,0,1
2019,Linnaline ja väikelinnaline asustuspiirkond,Elukoht Eestis teadmata,.,.,.,.,.,.,.,.
2019,Maaline asustuspiirkond,Kokku,744,322,167,159,38,9,0,49
