Aasta,Asustuspiirkonna liik,Mehe elukoht,Kuud kokku,Jaanuar,Veebruar,Märts,Aprill,Mai,Juuni,Juuli,August,September,Oktoober,November,Detsember
2021,Linnaline ja väikelinnaline asustuspiirkond,Lääne-Viru maakond,33,2,0,2,2,1,5,9,5,3,3,0,1
2021,Linnaline ja väikelinnaline asustuspiirkond,Põlva maakond,6,0,1,1,0,0,0,1,1,0,0,1,1
2021,Linnaline ja väikelinnaline asustuspiirkond,Pärnu maakond,86,4,2,3,3,6,8,17,15,9,6,3,10
2021,Linnaline ja väikelinnaline asustuspiirkond,Rapla maakond,8,1,0,0,0,2,1,0,0,2,0,2,0
2021,Linnaline ja väikelinnaline asustuspiirkond,Saare maakond,14,1,1,0,0,2,1,4,2,0,2,0,1
2021,Linnaline ja väikelinnaline asustuspiirkond,Tartu maakond,164,8,6,8,6,14,18,27,22,15,10,17,13
2021,Linnaline ja väikelinnaline asustuspiirkond,Valga maakond,10,1,1,0,0,1,0,0,2,2,1,0,2
2021,Linnaline ja väikelinnaline asustuspiirkond,Viljandi maakond,23,0,1,0,0,1,4,5,6,1,1,1,3
2021,Linnaline ja väikelinnaline asustuspiirkond,Võru maakond,18,1,0,0,3,2,1,4,1,2,1,3,0
2021,Linnaline ja väikelinnaline asustuspiirkond,Elukoht Eestis teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Maaline asustuspiirkond,Harju maakond,144,3,10,14,5,7,17,27,17,6,15,11,12
2021,Maaline asustuspiirkond,Hiiu maakond,10,1,0,0,1,1,1,1,0,1,0,2,2
2021,Maaline asustuspiirkond,Ida-Viru maakond,54,3,3,0,5,2,5,7,12,6,5,2,4
2021,Maaline asustuspiirkond,Jõgeva maakond,36,1,2,1,1,4,1,7,10,2,2,2,3
2021,Maaline asustuspiirkond,Järva maakond,33,3,1,1,0,2,3,8,4,3,2,2,4
2021,Maaline asustuspiirkond,Lääne maakond,18,1,1,1,2,0,1,3,1,1,5,0,2
2021,Maaline asustuspiirkond,Lääne-Viru maakond,63,5,2,5,3,2,6,8,8,9,7,2,6
2021,Maaline asustuspiirkond,Põlva maakond,30,1,3,1,2,3,2,5,4,1,1,3,4
2021,Maaline asustuspiirkond,Pärnu maakond,53,0,3,1,6,6,7,4,16,3,3,1,3
2021,Maaline asustuspiirkond,Rapla maakond,43,2,2,3,0,6,2,9,6,4,3,4,2
2021,Maaline asustuspiirkond,Saare maakond,35,2,0,5,0,1,4,8,5,4,3,1,2
2021,Maaline asustuspiirkond,Tartu maakond,73,8,1,5,1,5,7,11,14,2,9,3,7
2021,Maaline asustuspiirkond,Valga maakond,31,1,2,0,2,5,5,4,3,1,2,2,4
2021,Maaline asustuspiirkond,Viljandi maakond,47,2,5,2,5,10,6,3,4,3,3,3,1
2021,Maaline asustuspiirkond,Võru maakond,34,0,4,1,2,2,2,8,5,2,4,3,1
