"Aasta","Asustuspiirkonna liik","Mehe elukoht","Kuud kokku","Jaanuar","Veebruar","Märts","Aprill","Mai","Juuni","Juuli","August","September","Oktoober","November","Detsember"
"2018","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",7,0,0,1,1,0,1,0,0,0,2,1,1
"2018","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",24,1,5,1,1,2,1,3,3,1,1,2,3
"2018","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",22,4,2,2,3,3,1,0,1,4,1,0,1
"2018","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",52,5,3,2,3,10,3,2,7,6,4,2,5
"2018","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",9,1,0,2,0,0,1,0,0,1,1,1,2
"2018","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",81,5,8,6,6,4,7,5,6,10,11,5,8
"2018","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",17,2,0,0,1,1,4,1,4,2,1,0,1
"2018","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",24,3,1,2,3,1,1,0,4,5,1,1,2
"2018","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",213,15,16,23,20,24,14,12,17,19,19,16,18
"2018","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",29,2,0,3,1,1,5,0,3,5,6,1,2
"2018","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",28,3,4,2,2,2,1,3,1,1,5,1,3
"2018","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",21,2,1,1,5,1,2,2,1,1,3,2,0
"2018","Maaline asustuspiirkond","Kokku",828,60,61,66,62,74,72,70,52,72,84,75,80
"2018","Maaline asustuspiirkond","Harju maakond",200,11,17,16,17,17,13,16,9,24,22,11,27
"2018","Maaline asustuspiirkond","Hiiu maakond",19,2,3,0,1,3,3,0,3,0,0,3,1
"2018","Maaline asustuspiirkond","Ida-Viru maakond",64,5,5,3,4,5,7,5,6,8,5,7,4
"2018","Maaline asustuspiirkond","Jõgeva maakond",51,5,6,5,3,3,2,4,1,7,5,5,5
