"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Type of settlement region,Place of residence of groom,Months total,January,February,March,April,May,June,July,August,September,October,November,December
2020,City and town settlement region,Järva county,52,2,5,3,0,0,5,7,17,2,5,4,2
2020,City and town settlement region,Lääne county,38,1,2,1,1,2,7,8,5,2,5,1,3
2020,City and town settlement region,Lääne-Viru county,67,2,8,1,1,1,9,11,13,5,5,4,7
2020,City and town settlement region,Põlva county,11,1,1,0,1,1,2,2,2,1,0,0,0
2020,City and town settlement region,Pärnu county,191,7,20,5,8,10,18,35,43,19,14,4,8
2020,City and town settlement region,Rapla county,22,0,2,0,0,4,2,4,3,1,1,2,3
2020,City and town settlement region,Saare county,49,3,6,2,0,7,3,7,12,1,2,2,4
2020,City and town settlement region,Tartu county,419,9,51,22,13,29,44,67,69,34,44,19,18
2020,City and town settlement region,Valga county,47,6,9,1,1,2,3,2,6,6,5,0,6
2020,City and town settlement region,Viljandi county,74,2,8,3,2,4,5,14,11,4,10,7,4
2020,City and town settlement region,Võru county,29,0,3,0,0,1,2,4,7,5,6,0,1
2020,Rural settlement region,Harju county,319,10,23,17,7,18,25,54,63,37,26,18,21
2020,Rural settlement region,Hiiu county,46,1,5,4,3,1,4,6,13,1,3,2,3
2020,Rural settlement region,Ida-Viru county,103,3,17,4,6,4,9,14,10,8,12,5,11
2020,Rural settlement region,Jõgeva county,88,2,9,8,2,4,9,12,14,8,6,7,7
2020,Rural settlement region,Järva county,53,1,5,5,1,0,5,14,8,5,4,3,2
2020,Rural settlement region,Lääne county,38,1,7,0,2,6,4,6,6,2,3,0,1
2020,Rural settlement region,Lääne-Viru county,150,5,15,6,5,8,11,30,33,11,11,7,8
2020,Rural settlement region,Põlva county,70,2,3,4,3,8,9,11,7,5,6,3,9
2020,Rural settlement region,Pärnu county,118,0,13,3,4,6,9,16,25,11,8,12,11
2020,Rural settlement region,Rapla county,121,6,18,8,9,2,13,22,24,6,5,5,3
2020,Rural settlement region,Saare county,85,3,6,2,3,7,3,10,26,7,9,2,7
2020,Rural settlement region,Tartu county,190,2,18,4,16,22,21,33,35,6,15,7,11
2020,Rural settlement region,Valga county,47,2,3,1,4,2,3,10,11,2,5,0,4
2020,Rural settlement region,Viljandi county,84,3,2,5,2,5,9,14,20,5,7,5,7
2020,Rural settlement region,Võru county,70,2,8,4,2,5,2,12,12,4,9,5,5
